guid,Retrofit_Cost
2652bcef-c74e-436d-a146-d03f51969d0f,17280.23
975a37b2-a946-4290-9e1d-04ec3dd7a0c8,74113.23
2877f08b-e21f-4d54-8c68-a54831052f86,87231.23
d0df1f57-ff55-424e-98a8-a0d7ab0c8687,56948.23
dbf89267-276f-40af-855b-2e95ad2f4149,93936.23
2961f36a-114f-41ae-9b3a-cab35b6f8582,100299.23
0b90e848-23eb-4c61-a7f3-d9b9dec124b1,36705.23
aabec339-04cf-4ce9-b1f0-862135495f2f,276829.23
c31ffa3b-4b89-49b7-a0a8-09b699c432a2,281601.23
16bd0138-f1c0-4ce5-b493-e745abdda368,456737.23
8aecaf16-b0b8-46e4-b2da-f647cb6ad760,26581.23
69cbf11d-43b7-40e1-9c17-4ed90817e683,41880.23
a9242532-3142-467a-a647-d0656b87f7c7,21959.23
ecf8d6b4-3406-43cf-bc19-8af7f7fa8150,29598.23
1a8a61d0-e2e8-4ee9-8bae-2e5dd1fc957c,24965.23
2abcdb3c-9638-459e-82c5-03571bec889a,30020.23
de4675be-c51d-4ff2-829c-f84ec0ec65cf,20872.23
562cee98-824d-4a5d-89ce-58927deda7e5,27085.23
21aceeac-42d3-47d8-b4d7-a73205ada6c4,21277.23
f06a5e48-7ef0-4549-8d68-af6766098db5,18718.23
45af1042-e172-4df9-aea0-9f2528a6ddad,19139.23
c82a0840-7b61-4955-bac1-47609bcd3fa1,13658.23
71db316f-26e1-4a6c-ac57-513e46116f55,20309.23
e1a680ed-7390-4fd6-8b87-1e0309d5e5e3,17779.23
60609b4f-3235-4579-bd8a-2e54614092dc,18200.23
9e5be76d-001b-4461-b64f-9e6ba52e7278,18092.23
0cde3163-8dcb-407b-bfb7-ac959d28928e,115404.23
3ba33e15-c70e-4bf3-81fa-cf2646b2e9bc,123503.23
8e1b277c-0a3f-403d-a4ab-862042a2beb8,23087.23
58967f2c-ae96-4835-a317-5c652f2f318f,62141.23
c4870eec-d503-4abf-8967-f85a234cfc15,63732.23
b444778b-c322-47c2-b918-597372c2276c,67853.23
76dde50a-3dea-40c1-b05f-f25593a96dc3,24566.23
519f9f3c-edf2-4a43-9fe2-f11902185efe,57592.23
9dcc4c28-0cee-4e6e-b52b-697c9e9d9e20,49455.23
c87bce47-368f-42ae-b21b-6a9327c5256e,22861.23
3fcfe418-bafb-474b-a739-56fe8fcbca05,49954.23
247613f4-95b5-4cf4-9b4a-469d962caaf2,43766.23
bc78542c-54d3-4d33-9aba-e1f483edc99c,45213.23
f07f4801-55b5-4b86-bbe8-0a73850ae7d3,43622.23
aa926d0b-afe3-43fe-8a4b-74020c1cb8cc,41236.23
f4eada02-d5e7-46ab-adfd-1b2e7f085de7,27345.23
3f6fe8da-5ba3-4d30-abd3-e56df304561f,20331.23
191ced57-9ddc-4088-964f-403502a571b9,29369.23
3bf82557-7665-42aa-a278-1b9a5b25ec02,250307.23
a0af02f1-fd71-41b8-bbb1-7535d9931da3,78795.23
09ae112b-6f8f-468e-8648-6273b1fddca9,84507.23
46f33a2a-f12a-40eb-ba8f-d2b41fd11dd4,20342.23
9250d855-a541-450e-b90a-d6d235532f8d,25437.23
6fa55f7e-3f86-4e70-873e-fbb32323cd91,91347.23
